NGram, Frequency
# Unigrams
C,1
F,1
I,2
L,7
Q,4
œ,4
T,1
U,4
’,10
a,20
b,6
c,11
d,18
e,111
f,5
g,6
è,4
é,7
i,26
ê,5
l,28
,,4
m,20
-,1
n,33
.,3
o,21
p,10
q,7
r,46
s,68
t,30
u,46
v,20
x,7
y,3
:,8
;,1
?,1

# Bigrams
ps,2
s’,1
r:,1
s,,1
rL,2
s.,1
qu,7
ag,1
s:,4
ai,1
al,2
an,2
ap,4
ra,1
sC,1
ar,2
rd,2
re,13
at,2
sF,1
au,6
d’,1
C’,1
ri,2
sL,2
t-,1
rm,3
rn,2
sQ,1
ba,3
rq,1
rr,3
rs,9
Qu,4
u’,5
bi,2
sa,3
sc,1
sd,3
se,10
si,4
sl,2
oè,1
oé,3
sm,4
sn,2
so,4
sp,1
sq,1
sr,2
ss,3
st,7
tU,1
ce,4
su,2
sv,4
sy,3
ci,1
e,,1
e.,2
co,1
ta,2
tc,3
cr,1
td,3
te,7
ti,2
e:,2
e;,1
tl,5
pé,1
e?,1
da,1
tr,1
ts,2
tt,1
de,13
tu,1
èt,2
ub,1
èv,2
uc,1
eT,1
ue,2
eU,1
du,2
uf,1
ui,5
um,4
un,5
éd,2
ea,1
ur,10
us,4
ec,3
Tr,1
ed,4
ef,2
uv,1
eg,1
ux,7
el,9
em,7
en,11
ér,1
és,3
eq,4
er,15
év,1
es,25
ve,16
et,4
eu,10
ev,6
rê,5
Un,4
vo,1
vr,3
ff,1
x:,1
fl,2
bé,1
êv,5
fr,2
xI,2
Fe,1
gi,2
gn,1
xb,1
gr,1
xd,1
gt,1
gu,1
té,1
xs,2
dé,1
ye,3
ib,1
id,1
ie,7
ig,1
il,1
im,1
in,1
io,1
ir,2
is,7
it,3
l’,2
Il,2
cœ,4
:L,1
:U,1
:d,2
:e,1
’e,7
:l,1
la,5
’o,1
le,8
;U,1
:u,2
lg,1
li,3
n,,1
’u,2
ll,2
œu,4
lo,1
ls,2
lu,1
ma,3
mb,3
La,1
me,8
Le,6
mi,1
mo,1
mp,4
nc,2
ne,4
nf,1
ng,2
,i,1
nn,1
no,6
np,1
nq,1
nr,2
ns,4
nt,8
,s,2
,v,1
-c,1
oe,1
oi,2
om,1
.L,1
on,4
.Q,2
os,3
ot,2
ou,4
?L,1
r,,1
lè,3
pl,2
po,5

# Trigrams
dur,1
tdu,1
lum,1
uxI,2
